CaseID,ProjectTitle,Applicant,Applicant postcode,Scheme,ProjectDescription,Projectstartdate,Projectenddate,Govfundsawarded,record_complete,match_rdp,match_sfp,Geo,Visibility,Timing,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county1cash,county2cash,county3cash,county4cash,county5cash,county6cash,county7cash,county8cash,county9cash,county10cash,county11cash,county12cash,county13cash,county14cash,county15cash,county16cash,county17cash,county18cash,county19cash,county20cash,county21cash,county22cash,Local1,Local2,Local3,Local4,Local5,Local6,Local7,Local8,Local9,Local10,Local11,Local12,Local13,Local14,Local15,Local16,Local17,Local18,Local19,Local20,Local21,Local22,Local23,Local24,Local25,Local26,Local27,Local28,Local29,Local30,Local31,Local32,Local33,Local34,Local35,Local36,Local37,Local38,Local39,Local40,Local41,Local42,Local43,Local44,Local45,Local46,Local47,Local48,Local49,Local50,postcode_sector1,postcode_sector2,postcode_sector3,postcode_sector4,postcode_sector5,postcode_sector6,postcode_sector7,postcode_sector8,postcode_sector9,postcode_sector10,postcode_sector11,postcode_sector12,postcode_sector13,postcode_sector14,postcode_sector15,postcode_sector16,postcode_sector17,postcode_sector18,postcode_sector19,postcode_sector20,postcode_sector21,postcode_sector22,postcode_sector23,postcode_sector24,postcode_sector25,postcode_sector26,postcode_sector27,postcode_sector28,postcode_sector29,postcode_sector30,postcode_sector31,postcode_sector32,postcode_sector33,postcode_sector34,postcode_sector35,postcode_sector36,postcode_sector37,postcode_sector38,postcode_sector39,postcode_sector40,postcode_sector41,postcode_sector42,postcode_sector43,postcode_sector44,postcode_sector45,postcode_sector46,postcode_sector47,postcode_sector48,postcode_sector49,postcode_sector50,spending1,spending2,spending3,spending4,spending5,spending6,spending7,spending8,spending9,spending10,spending11,spending12,spending13,spending14,spending15,spending16,spending17,spending18,spending19,spending20,spending21,spending22,spending23,spending24,spending25,spending26,spending27,spending28,spending29,spending30,spending31,spending32,spending33,spending34,spending35,spending36,spending37,spending38,spending39,spending40,spending41,spending42,spending43,spending44,spending45,spending46,spending47,spending48,spending49,spending50,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,,,,Notes
1,Blaenau Gwent Construction & Environmental routes into employment,Blaenau Gwent County Borough Council,NP23 6DN,,No details found,,,"£50,320 ",0,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Blaenau Gwent NEET and Adult Employability Programme,Blaenau Gwent County Borough Council,NP23 6DN,,"In Blaenau Gwent there are a number of services that offer support for young people aged 11-25 who at risk of becoming or are currently not in Education, Employment or Training (NEET).",,,"£353,518 ",1,#N/A,#N/A,2,2,23,17,,,,,,,,,,,,,,,,,,,,,,"£353,518 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Digital Technology Learning Support Network,Blaenau Gwent County Borough Council,NP23 6DN,,"Working with Welsh primary and secondary schools, parents and teachers to set up an authentic Digital Technology Learning Support Network (DTLSN)",,,"£179,421 ",1,#N/A,#N/A,2,3,23,17,,,,,,,,,,,,,,,,,,,,,,"£179,421 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EVi Community and Cultural Centre,Blaenau Gwent County Borough Council,NP23 6DN,,"The Ebbw Vale Institute (EVI) Community and Cultural Centre has been carrying out extensive refurbishment and essential repairs at the historic Grade 2 listed building after being awarded £250,000 through the Welsh Government Communities Facilities Programme, securing its sustainability for future generations to enjoy.",,,"£266,087 ",1,#N/A,#N/A,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ebbw Vale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP23 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Helping Nature Help us Recover,Blaenau Gwent County Borough Council,NP23 6DN,,"Through this project, Gwent Wildlife Trust is providing training in skills for employment in conservation and the environment sector for people in Blaenau Gwent. We are also building on our work to help nature recover in the region by developing opportunities for practical volunteering on green spaces: to build ‘green skills’, improve the local natural environment and enhance participants' health and wellbeing.",,,"£179,446 ",1,#N/A,#N/A,2,3,23,17,,,,,,,,,,,,,,,,,,,,,,"£179,446 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HIVE PROJECT,Blaenau Gwent County Borough Council,NP23 6DN,,"Bringing together industry and education in high-value engineering, the HiVE Centre will offer research and development opportunities for industry partners, and it will be a base for school and employer outreach programmes, benefiting the wider community.",,,"£145,809 ",1,#N/A,#N/A,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ebbw Vale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP23 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,THE LIFE YOU WANT,Blaenau Gwent County Borough Council,NP23 6DN,,The Life You Want Project provide opportunities in training and support into employment for people and communities in Wales.,,,"£216,603 ",1,#N/A,#N/A,2,2,23,17,,,,,,,,,,,,,,,,,,,,,,"£216,603 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Transforming Young Minds for Tomorrow - Trawsnewid Meddyliau Ifanc ar gyfer Yfory,Blaenau Gwent County Borough Council,NP23 6DN,,"The project would create interactive activities to expose both primary and secondary school pupils to the wonders of manufacturing and engineering. Making them aware of the range of innovative and rewarding careers available in the Advanced Materials and Manufacturing, Creative and Digital and Energy and Environment sectors in the region.",,,"£88,614 ",1,#N/A,#N/A,2,3,21,17,,,,,,,,,,,,,,,,,,,,,,"£88,614 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Valleys Innovation Showcase for Technological Advancement (VISTA),Blaenau Gwent County Borough Council,NP23 6DN,,"Funded by the UK Government's Community Renewal Fund, VISTA aims to engage at least 20 businesses in Blaenau Gwent over the next four months as part of a pilot programme that will offer a range of support options including, access to grants and consultants and academics in their field, as well opportunities to work with the Advanced Manufacturing Research Centre (AMRC), a network of research and innovation centres.",,,"£1,008,874 ",1,#N/A,#N/A,2,2,23,17,,,,,,,,,,,,,,,,,,,,,,"£1,008,874 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Young Enterprise Blaenau Gwent,Blaenau Gwent County Borough Council,NP23 6DN,,"Young Enterprise in Wales works in partnership with local schools, businesses and volunteers to inspire and equip thousands of young people each year to learn and succeed through enterprise. Together we ensure that young people grow up with the life skills, knowledge and confidence they need to succeed in the changing world of work.",,,"£219,520 ",1,#N/A,#N/A,2,3,23,17,,,,,,,,,,,,,,,,,,,,,,"£219,520 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
