CaseID,ProjectTitle,Applicant,Applicant postcode,Scheme,ProjectDescription,Projectstartdate,Projectenddate,Govfundsawarded,record_complete,Geo,Visibility,Timing,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county1cash,county2cash,county3cash,county4cash,county5cash,county6cash,county7cash,county8cash,county9cash,county10cash,county11cash,county12cash,county13cash,county14cash,county15cash,county16cash,county17cash,county18cash,county19cash,county20cash,county21cash,county22cash,Local1,Local2,Local3,Local4,Local5,Local6,Local7,Local8,Local9,Local10,Local11,Local12,Local13,Local14,Local15,Local16,Local17,Local18,Local19,Local20,Local21,Local22,Local23,Local24,Local25,Local26,Local27,Local28,Local29,Local30,Local31,Local32,Local33,Local34,Local35,Local36,Local37,Local38,Local39,Local40,Local41,Local42,Local43,Local44,Local45,Local46,Local47,Local48,Local49,Local50,postcode_sector1,postcode_sector2,postcode_sector3,postcode_sector4,postcode_sector5,postcode_sector6,postcode_sector7,postcode_sector8,postcode_sector9,postcode_sector10,postcode_sector11,postcode_sector12,postcode_sector13,postcode_sector14,postcode_sector15,postcode_sector16,postcode_sector17,postcode_sector18,postcode_sector19,postcode_sector20,postcode_sector21,postcode_sector22,postcode_sector23,postcode_sector24,postcode_sector25,postcode_sector26,postcode_sector27,postcode_sector28,postcode_sector29,postcode_sector30,postcode_sector31,postcode_sector32,postcode_sector33,postcode_sector34,postcode_sector35,postcode_sector36,postcode_sector37,postcode_sector38,postcode_sector39,postcode_sector40,postcode_sector41,postcode_sector42,postcode_sector43,postcode_sector44,postcode_sector45,postcode_sector46,postcode_sector47,postcode_sector48,postcode_sector49,postcode_sector50,spending1,spending2,spending3,spending4,spending5,spending6,spending7,spending8,spending9,spending10,spending11,spending12,spending13,spending14,spending15,spending16,spending17,spending18,spending19,spending20,spending21,spending22,spending23,spending24,spending25,spending26,spending27,spending28,spending29,spending30,spending31,spending32,spending33,spending34,spending35,spending36,spending37,spending38,spending39,spending40,spending41,spending42,spending43,spending44,spending45,spending46,spending47,spending48,spending49,spending50,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,,,,Notes,,
1,Tywi Valley Path (Walking and Cycling Route Project),Carmarthenshire County Council,SA31 1JP,,"The Tywi Valley Path project will create a 20km off-road walking and cycling route linking Carmarthen to Llandeilo running alongside the River Tywi through stunning scenery which takes in castles, country parks and historical estates as well as attractions including the National Botanic Gardens of Wales and Aberglasney Gardens.",,,"16,774,912",1,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmarthen,Carmarthen,Carmarthen,Capel Dewi,Nantgaredig,Llandeilo,Llandeilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA31 1,SA31 2,SA31 3,SA32 8,SA32 7,SA19 6,SA19 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2396416,2396416,2396416,2396416,2396416,2396416,2396416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Have copied postcodes from same project in RDP. Unclear whether new funds will apply to these or not, so have kept them",W1 and part W2 already open (2018),Have put start date as date of this phase (2018)
2,Carmarthen and Pembroke HWB (Public Health and Wellbeing Facilities Development),Carmarthenshire County Council,SA31 1JP,,Local public service providers are working together on an exciting new venture to take over the former Debenhams building in Carmarthen.,,Spring 2024,19992025,1,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmarthen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA31 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19992025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aberystwyth (Town Regeneration),Ceredigion County Council,SY23 3UE,,"A package of investment has been secured to revitalise Aberystwyth’s sea front area and boost Ceredigion’s local economy. The funding will contribute to realising Aberystwyth University’s plans to bring new life to the Old College, and the delivery of schemes to create a Living Harbour and a Revitalised Promenade in Aberystwyth",,,"10,852,123",1,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberystwyth,Aberystwyth,Aberystwyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY23 1,SY23 2,SY23 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3617374.333,3617374.333,3617374.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Heart of Pembrokeshire Rediscovering Haverfordwest (Cultural Regeneration),Pembrokeshire County Council,SA61 1TP,,The bid focused on the economic regeneration of the historic county town of Haverfordwest via imaginative investment in its heritage and cultural assets.,,,"17,700,266",1,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haverfordwest,Haverfordwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA61 1,SA61 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8850133,8850133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Montgomery Canal Restoration,Powys County Council,LD1 5LG,,"The project comprises a feasibility study, preparatory assessments, investigations, and designs, with the focus on waterway (restoration) for economic & social purposes. Activity includes infrastructure works required to open the Montgomery Canal to navigation; a 4.4mile section from the border at Llanymynech to Arddleen and to connect to the 12 miles already restored section each side of Welshpool.",,,"15,486,183",1,3,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meifod,Llanymynech,Llanfyllin,Pant,Talerddig,Llanidloes,Westbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY22 6,SY10 9,SY22 5,SY10 8,SY21 9,SY21 8,SY5 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212311.857,2212311.857,2212311.857,2212311.857,2212311.857,2212311.857,2212311.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not counting feasibility study (this seems to be CRF), otherwise it would count as having started already",,
6,Brecon & Radnorshire Strategic Town Centre Investment,Powys County Council,LD1 5LG,,Almost £7million has been secured for three projects under the Brecon and Radnorshire Strategic Town Centre Investment package. The projects are: Creation of a multi-agency hub at Brecon Enterprise Park Redevelopment and refurbishment of Theatr Brycheiniog Llandrindod Wells Affordable Housing Scheme,,,"6,900,000",1,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecon,Brecon,Brecon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LD3 7,LD3 8,LD1 5,LD1 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725000,1725000,1725000,1725000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Muni Arts Centre,Rhondda Cynon Taff County Borough Council,CF40 2XX,,"The plans would expose the Muni’s stunning gothic architecture while creating a unique regional arts venue, through a major refurbishment and restoration project.  It would retain and enhance the Muni’s original features and heritage, ensuring it is fit for purpose and meets the local community’s needs.",,,"5,383,142",1,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontypridd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF37 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5383142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In June 2019, the Council agreed to enter formal negotiations with Awen as its preferred bidder to secure a sustainable and positive future for the Muni.",,
8,Porth Transport Hub,Rhondda Cynon Taff County Borough Council,CF40 2XX,,"Located at the existing railway station, the development consists of a modern and attractive transport hub at the heart of the Town Centre, which will provide seamless travel across bus and rail. The project also includes EV charging points, a taxi rank, cycle stores and local Active Travel network upgrades.",,,"3,586,091",1,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porth,Pontypridd,Tonypandy,Porth,Beddau,Treforest,Williamstown,Llanharry,Pontypridd,Ferndale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF39 9,CF37 7,CF40 1,CF39 0,CF37 3,CF37 2,CF40 2,CF39 8,CF37 1,CF43 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358609,358609,358609,358609,358609,358609,358609,358609,358609,358609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A4119 Coed-ely Dualling Scheme,Rhondda Cynon Taff County Borough Council,CF40 2XX,,"The major scheme will provide 1.5km of dual carriageway and a separate shared community route from Coed Ely Roundabout to Llantrisant Business Park – along with a new active travel bridge crossing the A4119 south of Coed Ely roundabout, to provide a new shared community route into the village. Alun Griffiths (Contractors) Ltd will deliver the work, for completion in 2024.",,,"11,416,950",1,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontyclun,Llwynypia,Llanharan,Brynna,Llantrisant,Pontyclun,Bridgend,Williamstown,Nantgarw,Porth,Tonypandy,Radyr,Ely,Cowbridge,Ogmore Vale,Porth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF72 0,CF39 8,CF72 8,CF72 9,CF38 1,CF38 2,CF35 6,CF39 9,CF37 2,CF37 1,CF40 1,CF15 9,CF5 6,CF71 7,CF32 7,CF39 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Maximise the potential of the post-COVID-19 visitor economy (Connectivity Improvement Project),Wrexham Council,LL11 1AY,,"A total of £13.3m was awarded from the UK Government’s Levelling Up Fund in October to improve the area around the Pontcysyllte Aqueduct in Trevor, with £1.7m to come from other organisations. ‌﻿​﻿‌﻿​﻿‌﻿​﻿​﻿​﻿‍﻿‌﻿​﻿​﻿​﻿‌﻿‌﻿​﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿‌﻿​﻿‌﻿​﻿‍﻿‌﻿​﻿​﻿​﻿​﻿‌﻿‌﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿‌﻿‌﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿‌﻿‌﻿‌﻿​﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿​﻿‌﻿​﻿‍﻿‌﻿​﻿‌﻿‌﻿‌﻿​﻿‌﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿​﻿​﻿​﻿‍﻿‌﻿​﻿​﻿​﻿‌﻿​﻿‌﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿‌﻿‌﻿​﻿​﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿​﻿​﻿​﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿​﻿‌﻿​",,,"13,302,704",1,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontcysyllte,Pontcysyllte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL20 7,LL14 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6651352,6651352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
