geography,population,density
AL1  1,5453,24.2
AL1  2,6523,22.8
AL1  3,4179,43
AL1  4,9799,40
AL1  5,10226,50.9
AL10 0,9935,40.8
AL10 8,10998,50.7
AL10 9,14967,9.6
AL2  1,9507,18.5
AL2  2,6130,6.5
AL2  3,7967,3.5
AL3  4,5565,18.4
AL3  5,8831,38.7
AL3  6,4281,3.1
AL3  7,5344,2.8
AL3  8,4441,1.5
AL4  0,9308,7.8
AL4  8,6509,2.5
AL4  9,11451,7.5
AL5  1,6090,24.8
AL5  2,4676,10.5
AL5  3,4659,4.4
AL5  4,6450,22.5
AL5  5,8365,31.5
AL6  0,6434,4.1
AL6  9,4788,2.7
AL7  1,5761,22.1
AL7  2,7395,32.2
AL7  3,10114,41.4
AL7  4,10620,32.3
AL8  6,5869,22.3
AL8  7,7383,12.3
AL9  5,2085,1.5
AL9  6,1427,0.8
AL9  7,6897,4.9
B1   1,4099,125
B1   2,2897,59
B1   3,993,50.8
B10  0,8206,57.3
B10  9,17702,108
B11  1,11688,74.1
B11  2,3479,25.1
B11  3,17242,76.4
B11  4,12295,115.3
B12  0,4129,39.8
B12  8,8748,85.8
B12  9,7878,81
B13  0,13458,38.2
B13  8,7678,26.8
B13  9,15681,56.7
B14  4,12710,45.6
B14  5,10926,46.6
B14  6,12143,45.9
B14  7,7634,58.1
B15  1,2582,46.9
B15  2,9675,32.7
B15  3,5964,21.1
B16  0,10022,53.6
B16  8,6754,76
B16  9,6994,61.3
B17  0,8835,40.6
B17  8,9118,37.5
B17  9,7610,47.9
B18  4,6676,74.4
B18  5,5132,41.8
B18  6,1890,32.2
B18  7,2585,50.3
B19  1,8818,105.1
B19  2,7537,69.2
B19  3,3713,40.9
B2   4,451,20.9
B2   5,165,98.8
B20  1,8296,26.6
B20  2,10818,44.8
B20  3,14975,87.2
B21  0,10012,67
B21  8,9576,49
B21  9,10738,96.6
B23  5,15189,53.4
B23  6,11113,57.4
B23  7,16568,50.6
B24  0,10567,39.4
B24  8,8028,41.3
B24  9,10275,27.1
B25  8,16005,45.3
B26  1,10895,57.8
B26  2,11456,54.5
B26  3,10475,35.6
B27  6,9604,56.5
B27  7,15230,59.4
B28  0,14567,46.1
B28  8,7734,54.9
B28  9,7735,60.7
B29  4,6122,37.5
B29  5,10203,52.3
B29  6,13598,54.8
B29  7,12101,63.4
B3   1,2441,72.6
B3   2,133,4.6
B30  1,10109,37.3
B30  2,11521,38.8
B30  3,7454,36.3
B31  1,11388,36.7
B31  2,12076,39
B31  3,11150,51.4
B31  4,9928,53
B31  5,9760,29.6
B32  1,9377,40.6
B32  2,12079,54.3
B32  3,11942,30.4
B32  4,5120,6.9
B33  0,10462,31.6
B33  8,11937,56.5
B33  9,12114,44.5
B34  6,11167,43.4
B34  7,8160,38.9
B35  6,4240,49.7
B35  7,5731,25.7
B36  0,12698,47.7
B36  8,12779,52.3
B36  9,9274,36.5
B37  5,9965,46.1
B37  6,11857,43.1
B37  7,13906,20.1
B38  0,2084,3.3
B38  8,9201,34.9
B38  9,10069,43.5
B4   6,340,142.3
B4   7,4343,29.5
B42  1,10974,39.9
B42  2,13393,26.3
B43  5,10947,41.3
B43  6,6541,21.8
B43  7,10953,34.3
B44  0,15427,68.6
B44  8,10020,34.2
B44  9,11644,51.2
B45  0,7143,52.2
B45  8,10605,7.8
B45  9,12437,19
B46  1,7223,7.4
B46  2,2147,0.6
B46  3,2702,3.6
B47  5,6596,22.3
B47  6,2759,3.4
B48  7,5796,2.1
B49  5,4344,1.1
B49  6,5845,1.4
B5   4,2134,47
B5   5,865,89
B5   6,222,238.7
B5   7,8762,31.4
B50  4,5350,4
B6   4,1090,23.1
B6   5,4388,39.1
B6   6,11456,96.5
B6   7,2730,18.7
B60  1,7692,5.4
B60  2,7881,26.8
B60  3,9030,15.7
