postcode_sector,Numpeople_2011_Total,Numpeople_2011_Wales,County1,County2,County3,CountyCe1,CountyCe2,CountyCe3
CF10 1,869,869,Cardiff,,,South Glamorgan,,
CF10 2,1348,1346,Cardiff,,,South Glamorgan,,
CF10 3,2095,2092,Cardiff,,,South Glamorgan,,
CF10 4,5227,5227,Cardiff,,,South Glamorgan,,
CF10 5,5926,5918,Cardiff,,,South Glamorgan,,
CF11 0,2223,2223,Cardiff,,,South Glamorgan,,
CF11 1,,,Cardiff,,,South Glamorgan,,
CF11 6,12284,12284,Cardiff,,,South Glamorgan,,
CF11 7,9790,9790,Cardiff,Vale of Glamorgan,,South Glamorgan,,
CF11 8,4070,4070,Cardiff,Vale of Glamorgan,,South Glamorgan,,
CF11 9,7780,7780,Cardiff,,,South Glamorgan,,
CF14 0,5623,5623,Cardiff,Caerphilly,,South Glamorgan,Gwent,
CF14 1,9647,9647,Cardiff,,,South Glamorgan,,
CF14 2,10714,10714,Cardiff,,,South Glamorgan,,
CF14 3,11561,11561,Cardiff,,,South Glamorgan,,
CF14 4,9903,9901,Cardiff,,,South Glamorgan,,
CF14 5,8830,8830,Cardiff,,,South Glamorgan,,
CF14 6,9369,9369,Cardiff,,,South Glamorgan,,
CF14 7,4811,4810,Cardiff,,,South Glamorgan,,
CF14 8,,,Cardiff,,,South Glamorgan,,
CF14 9,7308,7308,Cardiff,,,South Glamorgan,,
CF15 5,,,Cardiff,,,South Glamorgan,,
CF15 7,5585,5585,Cardiff,Rhondda Cynon Taf,Caerphilly,South Glamorgan,Mid Glamorgan,
CF15 8,6424,6424,Cardiff,,,South Glamorgan,,
CF15 9,5978,5978,Cardiff,Rhondda Cynon Taf,,South Glamorgan,Mid Glamorgan,
CF23 0,,,Cardiff,,,South Glamorgan,,
CF23 5,10390,10390,Cardiff,,,South Glamorgan,,
CF23 6,10511,10511,Cardiff,,,South Glamorgan,,
CF23 7,8101,8101,Cardiff,,,South Glamorgan,,
CF23 8,7273,7273,Cardiff,,,South Glamorgan,,
CF23 9,10713,10708,Cardiff,,,South Glamorgan,,
CF24 0,4098,4095,Cardiff,,,South Glamorgan,,
CF24 1,5726,5726,Cardiff,,,South Glamorgan,,
CF24 2,12771,12771,Cardiff,,,South Glamorgan,,
CF24 3,11927,11926,Cardiff,,,South Glamorgan,,
CF24 4,19978,19969,Cardiff,,,South Glamorgan,,
CF24 5,663,661,Cardiff,,,South Glamorgan,,
CF3 0,12118,12116,Cardiff,,,South Glamorgan,,
CF3 1,4363,4363,Cardiff,,,South Glamorgan,,
CF3 2,3615,3615,Cardiff,Newport,,South Glamorgan,Gwent,
CF3 3,7152,7126,Cardiff,,,South Glamorgan,,
CF3 4,5639,5537,Cardiff,,,South Glamorgan,,
CF3 5,8374,8374,Cardiff,,,South Glamorgan,,
CF3 6,867,867,Cardiff,Caerphilly,Newport,South Glamorgan,Gwent,
CF30 0,,,Cardiff,,,South Glamorgan,,
CF31 1,9151,9151,Bridgend,,,Mid Glamorgan,,
CF31 2,11672,11672,Bridgend,,,Mid Glamorgan,,
CF31 3,4407,4407,Bridgend,,,Mid Glamorgan,,
CF31 4,13623,13581,Bridgend,,,Mid Glamorgan,,
CF31 5,5976,5976,Bridgend,,,Mid Glamorgan,,
CF31 9,,,Bridgend,,,Mid Glamorgan,,
CF32 0,5069,5069,Bridgend,Vale of Glamorgan,,Mid Glamorgan,South Glamorgan,
CF32 7,6193,6193,Bridgend,,,Mid Glamorgan,,
CF32 8,7873,7841,Bridgend,,,Mid Glamorgan,,
CF32 9,10796,10794,Bridgend,,,Mid Glamorgan,,
CF33 4,7087,7087,Bridgend,,,Mid Glamorgan,,
CF33 6,7558,7558,Bridgend,Neath Port Talbot,,Mid Glamorgan,West Glamorgan,
CF34 0,10897,10897,Bridgend,,,Mid Glamorgan,,
CF34 4,,,Bridgend,,,Mid Glamorgan,,
CF34 9,9719,9717,Bridgend,,,Mid Glamorgan,,
CF35 5,5601,5601,Bridgend,Vale of Glamorgan,Rhondda Cynon Taf,Mid Glamorgan,South Glamorgan,
CF35 6,10755,10755,Bridgend,Rhondda Cynon Taf,,Mid Glamorgan,,
CF36 3,8980,8980,Bridgend,,,Mid Glamorgan,,
CF36 5,6863,6863,Bridgend,,,Mid Glamorgan,,
CF36 9,,,Bridgend,,,Mid Glamorgan,,
CF37 1,10100,10100,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF37 2,5561,5561,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF37 3,7554,7554,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF37 4,6945,6945,Rhondda Cynon Taf,Caerphilly,,Mid Glamorgan,Gwent,
CF37 5,8169,8149,Rhondda Cynon Taf,,,Mid Glamorgan,,
CF37 9,,,Rhondda Cynon Taf,,,Mid Glamorgan,,
