postcode_sector,Numpeople_2011_Total,Numpeople_2011_Wales,County1,County2,County3,CountyCe1,CountyCe2,CountyCe3,totalcombined,totalRDP,totalSFP,totalRDPvis1,totalRDPvis2,totalRDPvis3,totalSFPvis1,totalSFPvis2,totalSFPvis3,totalRDPvis1tim1,totalRDPvis1tim2,totalRDPvis1tim3,totalRDPvis1tim4,totalRDPvis1tim5,totalRDPvis1tim6,totalRDPvis1tim7,totalRDPvis1tim8,totalRDPvis1tim9,totalRDPvis1tim10,totalRDPvis1tim11,totalRDPvis1tim12,totalRDPvis1tim13,totalRDPvis1tim14,totalRDPvis1tim15,totalRDPvis1tim16,totalRDPvis1tim17,totalRDPvis1tim18,totalRDPvis1tim19,totalRDPvis1tim20,totalRDPvis2tim1,totalRDPvis2tim2,totalRDPvis2tim3,totalRDPvis2tim4,totalRDPvis2tim5,totalRDPvis2tim6,totalRDPvis2tim7,totalRDPvis2tim8,totalRDPvis2tim9,totalRDPvis2tim10,totalRDPvis2tim11,totalRDPvis2tim12,totalRDPvis2tim13,totalRDPvis2tim14,totalRDPvis2tim15,totalRDPvis2tim16,totalRDPvis2tim17,totalRDPvis2tim18,totalRDPvis2tim19,totalRDPvis2tim20,totalRDPvis3tim1,totalRDPvis3tim2,totalRDPvis3tim3,totalRDPvis3tim4,totalRDPvis3tim5,totalRDPvis3tim6,totalRDPvis3tim7,totalRDPvis3tim8,totalRDPvis3tim9,totalRDPvis3tim10,totalRDPvis3tim11,totalRDPvis3tim12,totalRDPvis3tim13,totalRDPvis3tim14,totalRDPvis3tim15,totalRDPvis3tim16,totalRDPvis3tim17,totalRDPvis3tim18,totalRDPvis3tim19,totalRDPvis3tim20,totalSFPvis1tim1,totalSFPvis1tim2,totalSFPvis1tim3,totalSFPvis1tim4,totalSFPvis1tim5,totalSFPvis1tim6,totalSFPvis1tim7,totalSFPvis1tim8,totalSFPvis1tim9,totalSFPvis1tim10,totalSFPvis1tim11,totalSFPvis1tim12,totalSFPvis1tim13,totalSFPvis1tim14,totalSFPvis1tim15,totalSFPvis1tim16,totalSFPvis1tim17,totalSFPvis1tim18,totalSFPvis1tim19,totalSFPvis1tim20,totalSFPvis2tim1,totalSFPvis2tim2,totalSFPvis2tim3,totalSFPvis2tim4,totalSFPvis2tim5,totalSFPvis2tim6,totalSFPvis2tim7,totalSFPvis2tim8,totalSFPvis2tim9,totalSFPvis2tim10,totalSFPvis2tim11,totalSFPvis2tim12,totalSFPvis2tim13,totalSFPvis2tim14,totalSFPvis2tim15,totalSFPvis2tim16,totalSFPvis2tim17,totalSFPvis2tim18,totalSFPvis2tim19,totalSFPvis2tim20,totalSFPvis3tim1,totalSFPvis3tim2,totalSFPvis3tim3,totalSFPvis3tim4,totalSFPvis3tim5,totalSFPvis3tim6,totalSFPvis3tim7,totalSFPvis3tim8,totalSFPvis3tim9,totalSFPvis3tim10,totalSFPvis3tim11,totalSFPvis3tim12,totalSFPvis3tim13,totalSFPvis3tim14,totalSFPvis3tim15,totalSFPvis3tim16,totalSFPvis3tim17,totalSFPvis3tim18,totalSFPvis3tim19,totalSFPvis3tim20
CF10 1,869,869,Cardiff,0,0,South Glamorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF10 2,1348,1346,Cardiff,0,0,South Glamorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF10 3,2095,2092,Cardiff,0,0,South Glamorgan,0,0,25037138,0,25037138,0,0,0,23126192,1910946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14191460,1124222,3170232,0,0,0,4640277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF10 4,5227,5227,Cardiff,0,0,South Glamorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF10 5,5926,5918,Cardiff,0,0,South Glamorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF11 0,2223,2223,Cardiff,0,0,South Glamorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF11 1,0,0,Cardiff,0,0,South Glamorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF11 6,12284,12284,Cardiff,0,0,South Glamorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF11 7,9790,9790,Cardiff,Vale of Glamorgan,0,South Glamorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CF11 8,4070,4070,Cardiff,Vale of Glamorgan,0,South Glamorgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
